,price,address,beds,baths,size
2945,3000,20 Blue Jays Way,1.5,1,770 
2946,3975,14 Park Lane -,3,2,1500 
2947,3100,88 Park Lawn Road -,2.5,2,
2948,2300,3 Rean Drive - ,1,1,
2949,13500,25 Webster Avenue,3.5,5,3800 
2950,3800,5 Saint Joseph Street,2.5,2,820 
2951,2300,100 Pintail Crescent - ,1.5,0,1037 
2952,3250,25 Capreol Court,2,2,849 
2953,4250,30 Roehampton Avenue,2,2,984 
2954,2345,Pembroke Street,1,1,
2955,3200,262 Roncesvalles Avenue,1,1,575 
2956,3800,62 Wellesley Street West,2,2,1482 
2957,2800,125 Redpath Avenue,1.5,2,789 
2958,4950,17 Bathurst Street,3,2,933 
2959,3800,43 Stevenharris Drive -,3.5,2,1800 
2960,2100,8 York Street,0,1,485 
2961,2650,455 Front Street East,1,2,650 
2962,6700,Glencairn Avenue - ,7,6,4000 
2963,3500,28 Ted Rogers Way,2,1,789 
2964,2250,575 Bloor Street East,1.5,2,658 
2965,1600,3 Capreol Court,1,1,
2966,2399,20 Edward Street,1,1,534 
2967,2270,75 Queens Wharf Road,1,1,560 
2968,3100,15 Fort York Boulevard,2,2,800 
2969,3200,109 Front Street East,1.5,0.5,850 
2970,3150,28 Ted Rogers Way,2,1,780 
2971,3250,75 Queens Wharf Road,1.5,1,675 
2972,2600 - $4000,28 Freeland Street,1.5 - 2,1,600 - 800 
2973,3025,18 Erskine Avenue,2.5,2,847 
2974,2300,158 Front Street East,1,1,500 
2975,3000,275 Yorkland Road - ,2,2,800 
2976,2950,37 Grosvenor Street,1.5,1,700 
2977,3500,641A The Queensway -,3.5,1.5,1600 
2978,5900,383 Sorauren Avenue,3,2,1400 
2979,1950,51 Creekbank Road - ,1,1,
2980,1950,51 Creekbank Road - ,1,1,
2981,2500,14 York Street,1.5,1,599 
2982,2750,1926 Lake Shore Boulevard West,1.5,1,650 
2983,3295,179 Dallimore Circle - ,3,4,1500 
2984,2500,21 Iceboat Terrace,1,1,700 
2985,2700,95 Bathurst Street,1,1,440 
2986,3800,1 Palace Pier Court -,2,2,1186 
2987,5800,2181 Yonge Street,2,2,1200 
2988,2900,633 Bay Street,1.5,1,650 
2989,4000,1029 King Street West,2,1.5,1000 
2990,2350,99 The Donway West - ,1.5,1.5,750 
2991,3900,176 First Avenue,3,1,1000 
2992,2800,32 Forest Manor Road - ,1.5,2,
2993,3700,51 Lower Simcoe Street,2.5,2,900 
2994,4050,15 Holmes Avenue - ,3,2,908 
2995,3100,15 Holmes Avenue - ,2,2,700 
2996,3400,1 Fielding Avenue,2.5,1,1500 
2997,1700,67 Renfield Street - ,0,1,500 
2998,4650,7 Grenville Street,3,2,850 
2999,2800,16 Bonnycastle Street,1.5,1,677 
3000,3850,42 Charles Street East,2,2,763 
3001,3500,7 Grenville Street,2,2,700 
3002,3850,38 Grenville Street,2,2,750 
3003,1750,527 Quebec Ave,1,1,640 
3004,2295,72 Esther Shiner Boulevard - ,1,1,724 
3005,2800,5 Northtown Way - ,2,2,700 
3006,3000,115 McMahon Drive - ,2,1,700 
3007,2300,251 Manitoba Street -,1,1,560 
3008,5795,Summerhill Avenue,2,2,1350 
3009,3400,10 Bloorview Place - ,2.5,2,990 
3010,2500,115 Blue Jays Way,1,1,537 
3011,3950,158 Front Street East,2,2,952 
3012,995,52 Hazelnut Crescent - ,1,0,
3013,2300,101 Peter Street,1,1,570 
3014,2750,80 Charles Street East,1,1,500 
3015,4450,229 Jane Street,3,1.5,1200 
3016,4500,407 Glenholme Ave,3,2.5,1500 
3017,4000,2 Four Oaks Gate -,2,1,1000 
3018,2800,901 Queen Street West,1,1,625 
3019,3650,25 Greenview Avenue - ,3,2,1106 
3020,3500,199 Parkside Drive,2,1,1200 
3021,5200,178 Bellefair Ave | Unit: 178 Bellefair Avenue,4,2.5,1500 
3022,4500,93 Eastville Avenue - S,4,3.5,2600 
3023,3950,60 George Butchart Drive - ,3.5,3.5,1326 
3024,2799,42 Jackson Pl,2,1.5,2000 
3025,2900,399 Adelaide Street West,2,1,818 
3026,2550,224 King Str,1.5,1,625 
3027,2850,Branstone R,4,1,2000 
3028,4500,Lonsdale Road,2,2,1180 
3029,3200,15 Greenview Avenue - ,2,2,790 
3030,3300,38 Grenville Street,2,2,800 
3031,3400,46 Western Battery Road,2,1.5,1000 
3032,3400,1 De Boers Drive - ,3.5,2,1003 
3033,2500,16 Bonnycastle Street,1.5,1,650 
3034,2500,197 Yonge Street,1,1,579 
3035,3400,18 Harrison Garden Boulevard - ,2,2,850 
3036,5000,8 The Esplanade,2,2,1200 
3037,2405,11 Ordnance Street,1,1,574 
3038,2150,9 Mabelle Avenue -,1.5,1,570 
3039,2200,2931 Lansdowne Avenue - ,2,1,1000 
3040,2500,42 Charles Street East,1,1,490 
3041,3173,400 Dufferin Street,2,2,870 
3042,3975,14 Park Lane -,2.5,2,1500 
3043,3500,181 Wynford Drive - ,2,2.5,1475 
3044,2900,11 Wellesley Street West,1.5,1,540 
3045,2850,15 Grenville Street,1.5,1,575 
3046,3100,320 Richmond Street East,2,2,750 
3047,3750,39 Brant Street,2,1,715 
3048,2400,222 Finch Avenue West - ,1,1,400 
3049,3600,18 Beverley Street,2,2,1100 
3050,2500,707 Eglinton Avenue West,2.5,1,1100 
3051,3600,555 Yonge Street,2.5,2,1008 
3052,3600,555 Yonge Street,2,2,1008 
3053,2700,35 Wild Rose Gardens - ,2,2,800 
3054,2700,25 Grenville Street,1,0.5,810 
3055,6200,3 Gloucester Street,2.5,2,2346 
3056,2650,1 Yonge Street,1.5,1,596 
3057,6000,7 Grenville St | Unit: 6412,2.5,3,1504 
3058,2500,28 Freeland Street,1,1,512 
3059,2400,12 York Street,1,1,530 
3060,2650,21 Balmuto Street,1,1,600 
3061,2800,19 Western Battery Road,1.5,1,600 
3062,6200,14 Penaire Street - S,6,4,2500 
3063,5500,1 Gloucester Street,2,2,1154 
3064,2500,1410 Yonge Street,1,1,536 
3065,2000,7 Carlton Street,0,1,445 
3066,75,81 Green Meadows Circle - ,1,1,263 
3067,85,78 Wishing Well Drive - S,1,1,285 
3068,3000,2152 Lawrence Avenue East - S,2,2,908 
3069,2500,1926 Lake Shore Boulevard West,1,1,490 
3070,3000,2152 Lawrence Avenue East - S,2,2,908 
3071,2500,1926 Lake Shore Boulevard West,1,1,490 
3072,60,78 Wishing Well Drive - S,1,1,160 
3073,3300,143 Chelmsford Avenue - ,3,1,1300 
3074,3975,14 Park Lane -,3,2,
3075,3975,14 Park Lane -,2,2,
3076,3700,2300 Saint Clair Avenue W,2,1,905 
3077,2750,1171 Queen Street West,2,1,800 
3078,3200,38 Forest Manor Road - ,2.5,2,857 
3079,3450,38 Grenville Street,2,2,760 
3080,1800,96 Northcote Avenue,1,1,600 
3081,3500,15 Queens Quay East,2,2,744 
3082,2300,60 George Butchart Drive - ,1.5,2,699 
3083,6500,388 Yonge Street,2,2,1300 
3084,2600,89 Dunfield Avenue,1,1,650 
3085,3200,81 Logan Avenue,2,1,1300 
3086,2500,20 Gothic Avenue,1,1,580 
3087,3100,213 Fort York Boulevard,2,1,900 
3088,2400,5180 Yonge Street - ,1,1,590 
3089,3000,39 Roehampton Avenue,2,2,700 
3090,3900,1928 Lake Shore Boulevard West,2,3,975 
3091,3900,1928 Lake Shore Boulevard West,2,3,975 
3092,1800,1602 Danforth Avenue,1,1,650 
3093,2200,69 Bywood Drive -,6,4,5000 
3094,3100,158 Front Street East,2,2,800 
3095,3000,1190 Dundas Street East,2.5,2,850 
3096,3000,5 Soudan Avenue,2,2,
3097,2100,460 Adelaide Street East,1,1,546 
3098,4500,78 Shaughnessy Boulevard - ,0,0,
3099,2270,75 Queens Wharf Road,1,1,560 
3100,1300,545 Sherbourne Street,0,0,800 
3101,2400,150 Sudbury Street,1,1,500 
3102,2100,224 King Street West,0,1,460 
3103,2000,224 King Street West,0,1,460 
3104,2000,224 King Street West,0,1,450 
3105,2400,224 King Street West,1,1,450 
3106,2150,224 King Street West,0,1,450 
3107,2600,224 King Street West,1.5,1,625 
3108,4200,224 King Street West,2,2,950 
3109,2400,224 King Street West,1,1,450 
3110,4100,224 King Street West,2,2,900 
3111,3800,224 King Street West,2,1,850 
3112,4250,224 King Street West,2,2,985 
3113,4100,224 King Street West,2,2,920 
3114,3980,224 King Street West,2,2,850 
3115,3950,224 King Street West,2,2,850 
3116,2000,26 Saint Joseph Street,0.5,0.5,500 
3117,3300,173 King Street East,0,0,1400 
3118,4400,55 Front Street East,2,2,1100 
3119,3500,73 Shining Star Crescent - ,3,2.5,2300 
3120,3500,sborne Avenue,3,1,1200 
3121,2250,125 Blue Jays Way,1,1,
3122,1100,1501 Woodbine Avenue -,2,1.5,860 
3123,1850,7165 Yonge Street,1,1,
3124,4600,381 Montrose Avenue,3.5,4,1500 
3125,2000,451 Leslie Street,2,1,900 
3126,2200,1377 King Street West,2,1,1000 
3127,2100,1279 Davenport Road,1,1,900 
3128,2700,15 Iceboat Terrace,1,1,500 
3129,2300,68 Abell Street,1,1,410 
3130,3500,42 Stephen Drive -,2,1,900 
3131,2300,75 The Esplanade,1.5,1,
3132,3150,85 Bloor Street East,2,2,
3133,9000,10 Navy Wharf Court,3,3,2249 
3134,2398,159 Dundas Street East,1,1,580 
3135,1700,3 Elsie Ln,1,0.5,500 
3136,3500,955 Bay Street,2,2,800 
3137,3250,1888 Bayview Avenue - ,2,2,1000 
3138,2000,955 Bay Street,0,1,339 
3139,3150,85 Bloor Street East,2,2,
3140,1600,Valermo Drive -,1,1,130 
3141,4290,18 Yorkville Avenue,2,2,799 
3142,2300,1213 Dundas Street West,1,1,900 
3143,3500,Weston R,4,2,
3144,4400,Leaside Park Drive -,3,3,
3145,4100,12 Sudbury Street,3,2,1200 
3146,2900,39 John Perkins Bull Drive - ,3,3,1652 
3147,3050,78 Prescott Avenue,2,1,1200 
3148,2900,Parrotta Drive - ,3,2.5,1750 
3149,3500,Canon Jackson Drive - ,3,3,1400 
3150,1625,50 Gerrard Street East,1,1,400 
3151,800,Rameau Drive - ,1,1.5,140 
3152,1750,1 Elsie Lane,3,2.5,1700 
3153,1600,83 Tansley Avenue - S,2,1,800 
3154,1775,9 Delaney Crescent,3,2,
3155,750,15 North Woodrow Boulevard - S,1,1,500 
3156,1540,186 Jarvis Street,4,2,
3157,2000,72 Seminole Avenue - S,2,2,
3158,850,23 Huntington Avenue - S,1,1,
3159,1200,57 Fennings Street,1,1,400 
3160,1750,1 Elsie Lane,1,1,
3161,1060,16 Penrose Road,1,1,
3162,1300,1403 Royal York Road -,1,1,700 
3163,1200,414 Bartlett Avenue,2,1,
3164,850,204 Harvie Ave,2,2,
3165,2295,159 Parkmount Road,2,1,777 
3166,4000,245 Carlaw Avenue,2,1,1199 
3167,2300,Main Street,1,1,1100 
3168,5100,320 Delaware Avenue,3,1.5,1250 
3169,6000,213 Shaw Street,3,2,1600 
3170,3350,149 Torrens Avenue -,3,2,
3171,1890,4 Deering Crescent - ,2,1,1250 
3172,2650,6 Hopedale Avenue -,3,2,2000 
3173,4850,65 Harding Avenue - ,4.5,3.5,2000 
3174,2750,ld Weston Road,2,1,
3175,1890,4 Deering Crescent - ,2,1,1250 
3176,650,409 Dawes Road -,1,1,400 
3177,5800,119 Fermanagh Avenue,1,0,2700 
3178,2100,42 Denrock Drive - ,2,2,1100 
3179,3500,564 Concord Avenue,3,1,2000 
3180,5000,437 Fairlawn Avenue - ,5,4,3700 
3181,3900,Queen Street East,2.5,1,1300 
3182,2400,73 Browning Avenue,1,1,800 
3183,12000,59 Admiral Road,3.5,4,3500 
3184,2450,Brampton Road -,3,2,2250 
3185,5000,196 Moore Avenue,4,2,2350 
3186,3925,138 Fairholme Avenue - ,3,2,
3187,5450,543 Parliament Street,3,2.5,2200 
3188,3990,156 Beech Avenue,3,1.5,1300 
3189,3200,759 Sheppard Avenue West - ,4,0.5,1200 
3190,3199,343 Kane Ave,4,2,3000 
3191,2899,377 Mortimer Avenue -,1,0.5,
3192,1950,4 Park Vista -,1,1,725 
3193,2550,50 George Butchart Drive - ,2,2,728 
3194,2700,43 Hanna Avenue,1,1,808 
3195,2200,1 Hickory Tree R,1,1,750 
3196,2200,59 East Liberty Street,1,1,630 
3197,3500,14 York Street,1.5,1,528 
3198,2400,330 Dixon Road -,2,1,950 
3199,2500,20 Richardson Street,1.5,1,583 
3200,3500,75 Queens Wharf Road,2,2,1008 
3201,2750,33 Mill Street,1.5,1,799 
3202,2300,30 Grand Trunk Crescent,1,1,550 
3203,2100,38 Monte Kwinter Court - ,1,1,480 
3204,2400,120 Canon Jackson Dr,2,2,780 
3205,4200,10 Navy Wharf Court,2.5,2,1220 
3206,2300,135 East Liberty Street,1.5,1,663 
3207,2500,218 King Street East,1.5,1,697 
3208,2280,20 Shore Breeze Drive -,1,1,550 
3209,2200,75 The Esplanade,1.5,2,
3210,3000,75 The Esplanade,2,2,733 
3211,2800,35 Rolling Mills Road,2.5,2,815 
3212,2200,75 Queens Wharf Road,2,1,673 
3213,2500,17 Coneflower Crescent - ,2,1,785 
3214,2350,36 Lisgar Street,2,2,600 
3215,5200,1 Yorkville Avenue,2,2,950 
3216,2495,300 Balliol Street,1,1,600 
3217,2975,500 Sherbourne Street,2,2,900 
3218,2275,2885 Bayview Avenue - ,1.5,1,749 
3219,2275,25 Lower Simcoe Street,1,1,650 
3220,3850,197 Yonge Street,2,2,806 
3221,2200,5508 Yonge Street - ,1,1,550 
3222,2250,591 Sheppard Avenue East - ,1,1,550 
3223,2200,591 Sheppard Avenue East - ,1,1,550 
3224,2300,121 McMahon Drive - ,1.5,1,545 
3225,2800,35 Hollywood Avenue - ,2,2,750 
3226,2450,100 Harrison Garden Boulevard - ,1.5,1,650 
3227,2650,Adelaide Street West,1.5,2,
3228,2300,21 Hillcrest Avenue - ,1,1,650 
3229,4350,35 Balmuto Street,2.5,2,1012 
3230,2600,15 Lower Jarvis Street,2,1,644 
3231,2255,1 Massey Square -,2,1,1000 
3232,4000,12 Bonnycastle Street,1,1,568 
3233,2450,2 Rean Drive - ,1.5,2,792 
3234,3850,197 Yonge Street,2,2,806 
3235,2500,16 Yonge Street,2,2,875 
3236,2600,70 Annie Craig Drive -,2,2,800 
3237,3472,88 Park Lawn Road -,2.5,2,1106 
3238,3000,371 Wallace Avenue,1,1,770 
3239,2300,88 Sheppard Avenue East - ,1.5,1,680 
3240,3400,2662 Bloor Street West -,2,2,
3241,2600,10 York Street,1,1,700 
3242,2450,99 John Street,1.5,1,700 
3243,2600,116 George Street,2,1,900 
3244,2000,99 John Street,0,1,417 
3245,1850,458 Richmond Street West,1,1,407 
3246,4200,88 Park Lawn Road -,2,2,1100 
3247,2600,1 Hickory Tree R,2,2,1250 
3248,3300,33 University Avenue,1,1.5,1199 
3249,5300,1 Yorkville Avenue,2,2,950 
3250,2200,100 Harrison Garden Boulevard - ,1.5,1,700 
3251,2300,455 Rosewell Avenue,0.5,0.5,800 
3252,2000,125 Blue Jays Way,0.5,0.5,520 
3253,4995,1048 Broadview Avenue -,2.5,2.5,1911 
3254,3200,65 Annie Craig Drive -,2,2,875 
3255,3200,203 College Street,1.5,2,550 
3256,2950,7 Grenville Street,2,2,665 
3257,3200,181 Bedford Road,2.5,0,1500 
3258,2700,50 Thomas Riley Road -,2,2,850 
3259,2200,100 Harbour Street,1,1,565 
3260,2500,15 Iceboat Terrace,1.5,1,640 
3261,2350,43 Hanna Avenue,1.5,1,760 
3262,2790,170 Fort York Boulevard,2,1,650 
3263,3200,85 East Liberty Street,2.5,2,1040 
3264,2400,88 Sheppard Avenue East - ,1,1,699 
3265,4500,65 Bremner Boulevard,2,2,1275 
3266,3000,347 Sorauren Avenue,2,1,1150 
3267,2950,170 Sumach Street,0,0,1000 
3268,4600,35 Mariner Terrace,3,2,1275 
3269,5850,488 University Avenue,3,3.5,1100 
3270,4600,35 Mariner Terrace,3,2,1275 
3271,5850,488 University Avenue,3,3.5,1100 
3272,3950,701 Dovercourt Road,2,2,1100 
3273,2970,717 Bay Street,2,2,1050 
3274,2075,38 Dan Leckie Way,1.5,1,670 
3275,2400,19 Western Battery Road,1.5,1,563 
3276,3000,85 East Liberty Street,2,2,900 
3277,4800,65 Bremner Boulevard,2,2,1262 
3278,2100,2A Church Street,1.5,1,
3279,2900,80 Mill Street,1,1.5,840 
3280,2200,170 Fort York Boulevard,1,1,500 
3281,2550,32 Forest Manor Road - ,2,2,738 
3282,2750,35 Brian Peck Crescent -,2.5,2,1021 
3283,5500,1 Gloucester Street,2.5,2,1154 
3284,2500,31 Tippett Road - ,1.5,2,700 
3285,3600,68 Kendal Avenue,2,1,1100 
3286,2400,101 Charles Street East,1,1,600 
3287,2295,170 Fort York Boulevard,1,1,530 
3288,2500,10 Parkway Forest Drive - ,2,1.5,999 
3289,2700,68 Abell Street,2.5,2,700 
3290,1800,253 College Street,1.5,1,
3291,1950,Concorde Place - ,1,1,604 
3292,3000,2 Anndale Drive - ,2,2,840 
3293,2295,170 Sudbury Street,2,1,600 
3294,2750,50 Thomas Riley Road -,2,2,875 
3295,2000,18 Holmes Avenue - ,1,1,
3296,2400,250 Wellington Street West,1,1,730 
3297,2000,73 Richmond Street West,0,1,
3298,2600,75 Canterbury Place - ,2,2,699 
3299,2200,1 Hickory Tree R,1.5,1,800 
3300,2400,15 Lower Jarvis Street,1,1,600 
3301,2750,18 Parkview Avenue - ,2,2,850 
3302,3100,18 Concorde Place - ,2.5,2,1275 
3303,2380,25 Telegram Mews,1.5,1,700 
3304,2200,455 Front Street East,1,1,534 
3305,2350,1 Yorkville Avenue,2,2,557 
3306,2750,30 Gibbs Road -,2,2,782 
3307,2700,525 Adelaide Street West,1.5,2,700 
3308,1750,67 Alberta Avenue,2,1,
3309,1680,16 Chilcot Avenue -,1,1,699 
3310,1350,63 Robinson Avenue - S,1,1,400 
3311,2600,238 Derrydown Road - ,3,1,
3312,2000,Bondhead Place -,2,1,1000 
3313,2000,Bondhead Place -,2,1,1000 
3314,1575,79 Erie Street - ,0.5,0.5,750 
3315,1600,359 Blackthorn Ave,0,1,
3316,1400,350 Queen Street West,0,1,600 
3317,2500,28 Concord Avenue,1,1,
3318,2717,123 Parkway Forest Drive - ,2,1,908 
3319,2300,1213 Dundas Street West,1,1,1000 
3320,2300,1213 Dundas Street West,1,1,900 
3321,2900,19 Lowther Avenue,1,1,1100 
3322,3600,1028 Bloor Street West,4,1,950 
3323,2600,69 Elm Grove Avenue,1.5,1,900 
3324,2400,Madison Avenue,1,1,1200 
3325,1700,1 Richview Road -,1.5,1,1000 
3326,1700,1 Richview Road -,1.5,2,1000 
3327,3500,99 John Street,2,2,860 
3328,1550,1875 Steeles Avenue West - ,1,1,
3329,1865,2404 Queen Street East - S,1,1,700 
3330,1700,1875 Steeles Avenue West - ,2,1,
3331,1980,821 Carlaw Avenue,1,1,650 
3332,1980,231 College Street,1,1,520 
3333,1998,14 Thornton Ave,2,1,1000 
3334,1450,198 Dunn Avenue,1,1,300 
3335,1450,198 Dunn Avenue,1,1,300 
3336,1998,14 Thornton Ave,2,1,1000 
3337,3900,5 Mariner Terrace,2.5,2,1100 
3338,2895,726 Windermere Avenue,2,1,1000 
3339,3495,50 Cowan Avenue,2,3,1200 
3340,1975,445 Eglinton Avenue East,1,1,777 
3341,3200,51 Trolley Crescent,1.5,0.5,784 
3342,2800,363 Shaw Street,3,1,1000 
3343,4495,511 Davenport Road,3,1,
3344,4300,20 Edward Street,3,2,999 
3345,2200,36 Lisgar Street,1.5,1,650 
3346,4300,488 University Avenue,2.5,2,
3347,2950,25 Capreol Court,2,2,
3348,2900,25 Capreol Court,2,2,
3349,2450,38 Grenville Street,1.5,1,
