,price,address,beds,baths,size
2207,5200,19 Bathurst Street,3,2,
2208,6600,1080 Bay Street,3,2,
2209,8500,761 Bay Street,4,3,
2210,3100,399 Adelaide Street West,2,1,
2211,3000,711 Bay Street,3,1,
2212,4500,20 Hargrave Lane - ,3,3,
2213,3000,56 Forest Manor Road - ,2,2,
2214,5200,29 Queens Quay East,3,3,
2215,2750,2A Church Street,2,2,
2216,2200,40 Ravencliff Crescent - S,2,2,
2217,5300,220 Glengrove West,5,2,
2218,3600,45 Charles Street East,2,2,
2219,6300,224 Randolph Road -,5,4,
2220,2850,1928 Lake Shore Boulevard West,2,2,
2221,4375,60 Joe Shuster Way,4,3,
2222,4000,81 Navy Wharf Court,3,2,
2223,2550,42 Keewatin,2,1,
2224,2500,25 Carlton Street,0,1,
2225,2108,151 Everden R,2,1,
2226,4600,87 Peter Street,3,2,
2227,2850,1 Bloor Street,2,1,
2228,3400,38 The Esplanade,2,2,
2229,3200,158 Front Street East,3,2,
2230,6000,16 Harbour Street,3,3,
2231,3500,488 University,2,2,
2232,11500,20 Edward Street,3,3,
2233,7495,108 Rosedale Heights Drive,4,2,
2234,4500,68 Lewis Street,3,3,
2235,4500,100 River Street,3,3,
2236,6200,488 University,3,2,
2237,2600,1120 Briar H,2,1,
2238,9290,19 Gormley,5,4,
2239,3400,15 Arnold -,3,4,
2240,2950,509 Beecroft Road - ,2,1,
2241,2950,212 Eglinton East,2,1,
2242,2650,99 John Street,2,1,
2243,3500,252 Royal York Road -,2,2,
2244,2400,39 Annie Craig Drive -,2,1,
2245,3550,62 Carney Road - ,4,1,
2246,2750,200 Manitoba Street -,2,2,
2247,2477,1928 Lakeshore Boulevard West,2,1,
2248,3492,55 East Liberty Street,2,2,
2249,3900,410 Queens Quay West,2,2,
2250,4125,1815 Yonge Street,1.5,1,
2251,2400,85 East Liberty Street,1.5,1,600 
2252,2400,85 East Liberty Street,1,1,600 
2253,2400,85 East Liberty Street,1.5,1,600 
2254,5500,84 Goswell Road,5,3,2700 
2255,3400,20 Lombard Street,2,1,
2256,4292,1 Elsie Lane,4,3,
2257,2700,18 Concorde Place - ,3,2,
2258,3800,50 Hargrave Lane,3,3,
2259,2400,99 The Donway Road West - ,1,1,
2260,2000,74 Ruthmar Crescent - ,2,1,
2261,2850,235 Sherway Gardens Road -,2,2,
2262,2500,30 Heron's Hill Way - ,2,1,
2263,2700,520 Steels West,2,2,
2264,3150,2362 Queen Street East,2,2,
2265,3500,101 Burnside Drive,3,1,
2266,3800,18 Liscombe Road - ,3,1,
2267,2350,1 Yorkville,1,1,
2268,5800,101 Charles Street East,3,3,
2269,2800,36 Forest Manor Road - ,2,2,
2270,6900,49 Winterton Drive -,4,3,
2271,1250,173 Overbrook Place - ,1,1,
2272,5750,96 St Patrick Street,3,2,
2273,4500,58 Stuart Crescent - ,4,3,
2274,3400,83 Redpath,3,2,
2275,3250,70 Temperance Street,2,2,
2276,3380,9 Bogert South - ,3,2,
2277,2250,5 Concorde Place,1.5,1,800 
2278,6900,62 Hambly Avenue,4,4,
2279,3000,93B Douglas Crescent,2,1,1000 
2280,3500,88 Blue Jays Way,2,2,800 
2281,2250,107 Glenholme,1,1,
2282,850,12 King George R,3,2,
2283,2100,46 Medhurst Road -,3,1,
2284,2295,50 Power Street,1,1,
2285,3000,1 Yorkville,2,1,
2286,3792,1060 Lansdowne,4,3,
2287,2900,33 Helendale,3,2,
2288,2500,365 Church Street,2,1,
2289,4100,197 Yonge Street,3,2,
2290,3180,111 St Clair West,1,2,
2291,3500,28 Wellesley Street East,2,2,
2292,850,12 King George R,3,2,
2293,2750,96 Fairb,3,1,
2294,3300,438 Drewry - ,3,1,
2295,3250,5 Mabelle -,2,2,
2296,5350,148 Viewmount - ,5,4,
2297,5100,421 Roselawn,5,3,
2298,9500,43 Rusholme Road,4,4,
2299,2600,46 Medhurst Road -,2,1,
2300,2600,478 King Street West,2,1,
2301,2800,20 Brin Drive -,1,1,
2302,3450,46 Wedgewood Drive - ,3,1,
2303,4200,717 Bay Street,3,2,
2304,2550,18 Concorde Place - ,1,1,
2305,2500,55 Stewart Street,1,1,
2306,3400,217 Glengarry Avenue,3,1.5,1500 
2307,2950,95 Lombard Street,0.5,0.5,750 
2308,4120,1815 Yonge Street,1.5,1,
2309,3500,1040 The Queensway -,3,2,
2310,3150,39 Roehampton,2,2,
2311,3950,1205 Queen Street West,3,2,
2312,2950,395 Bloor Street East,2,1,
2313,2850,251 Manitoba Street -,2,2,
2314,3000,48 Mahoney,3,1,
2315,2900,8 Scollard Street,2,2,
2316,4000,22 Nipigon - ,4,2,
2317,4300,33 Charles Street East,3,2,
